策略,日期,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元
方法B_固定净负荷0.80分位数,2025-01-01,54149.36558717003,54149.36558717003,0.0,0.0,36514.41488333333,21.217300000000023,32909.865288866175,0.0,146586.90245181666,179496.76774068284
方法B_固定净负荷0.80分位数,2025-01-02,96853.43825448016,96853.43825448016,0.0,0.0,2483.2580333333335,1633.1887833333321,61853.47911169965,0.0,9532.153857958338,71385.63296965799
方法B_固定净负荷0.80分位数,2025-01-03,98536.02588261303,98536.02588261303,0.0,0.0,0.0,48190.19732,63124.98434730495,0.0,0.0,63124.98434730495
方法B_固定净负荷0.80分位数,2025-01-04,97702.04905225526,97702.04905225526,0.0,0.0,34.972000000000094,48141.218956666664,62522.5288987349,0.0,74.77013600000019,62597.2990347349
方法B_固定净负荷0.80分位数,2025-01-05,96935.71022098721,96935.71022098721,0.0,0.0,1422.8089299999983,2503.29659,61949.07477821786,0.0,5475.390809239993,67424.46558745786
方法B_固定净负荷0.80分位数,2025-01-06,97686.82948795713,97686.82948795713,0.0,0.0,1062.0088366666662,3278.5408666666663,62530.94878882862,0.0,4541.081252353333,67072.03004118195
方法B_固定净负荷0.80分位数,2025-01-07,98011.95567929588,98011.95567929588,0.0,0.0,1583.1145166666663,2193.7924833333327,62839.82455340324,0.0,5865.712655983332,68705.53720938657
方法B_固定净负荷0.80分位数,2025-01-08,98463.26244562396,98463.26244562396,0.0,0.0,729.3383133333339,4827.31734,63132.62863749393,0.0,2456.661116961669,65589.2897544556
方法B_固定净负荷0.80分位数,2025-01-09,98494.23328912667,98494.23328912667,0.0,0.0,839.7149599999981,3404.8933666666653,63145.60276076862,0.0,2782.5770381849948,65928.17979895361
方法B_固定净负荷0.80分位数,2025-01-10,98652.45649635307,98652.45649635307,0.0,0.0,0.0,48322.89960333333,63248.4417262695,0.0,0.0,63248.4417262695
方法B_固定净负荷0.80分位数,2025-01-11,98338.59990733543,98338.59990733543,0.0,0.0,4.073999999999955,48640.37954333333,63025.61254378141,0.0,8.710211999999904,63034.32275578142
方法B_固定净负荷0.80分位数,2025-01-12,98027.13165162057,98027.13165162057,0.0,0.0,509.70930000000055,2837.027233333334,62803.80461262764,0.0,1717.5915039166687,64521.39611654431
方法B_固定净负荷0.80分位数,2025-01-13,98049.35528288061,98049.35528288061,0.0,0.0,415.7515399999995,5359.707399999999,62801.6715846913,0.0,1250.8489566916653,64052.52054138297
方法B_固定净负荷0.80分位数,2025-01-14,97975.26884927785,97975.26884927785,0.0,0.0,472.62732000000005,4338.6236400000025,62742.02107522914,0.0,1465.6156004433337,64207.63667567247
方法B_固定净负荷0.80分位数,2025-01-15,97954.59273247537,97954.59273247537,0.0,0.0,552.2474733333333,3609.7453699999987,62710.91693520327,0.0,2503.918728868333,65214.8356640716
方法B_固定净负荷0.80分位数,2025-01-16,97988.18068149876,97988.18068149876,0.0,0.0,685.4847700000004,4770.031913333333,62765.673315467415,0.0,2912.699960480002,65678.37327594742
方法B_固定净负荷0.80分位数,2025-01-17,98025.54586363652,98025.54586363652,0.0,0.0,0.0,50508.692716666665,62814.29807292438,0.0,0.0,62814.29807292438
方法B_固定净负荷0.80分位数,2025-01-18,97801.23886168042,97801.23886168042,0.0,0.0,27.15599999999995,49759.895359999995,62657.58478419532,0.0,58.05952799999989,62715.64431219533
方法B_固定净负荷0.80分位数,2025-01-19,97578.79219303252,97578.79219303252,0.0,0.0,347.66660666666655,4419.078043333333,62501.66697400041,0.0,1464.2285592983324,63965.89553329874
方法B_固定净负荷0.80分位数,2025-01-20,97519.11327020059,97519.11327020059,0.0,0.0,309.5242500000005,4936.080963333332,62475.20457107223,0.0,1283.4419823583346,63758.64655343057
方法B_固定净负荷0.80分位数,2025-01-21,97425.11105932698,97425.11105932698,0.0,0.0,315.70332333333386,9440.77688,62424.3761604438,0.0,1000.8412401700016,63425.2174006138
方法B_固定净负荷0.80分位数,2025-01-22,97507.14340428635,97507.14340428635,0.0,0.0,469.5220866666667,4253.768306666667,62478.79001449821,0.0,1836.8138517216662,64315.60386621988
方法B_固定净负荷0.80分位数,2025-01-23,97636.02480865731,97636.02480865731,0.0,0.0,376.36265333333324,3618.606399999999,62572.9435144321,0.0,1066.1369011100007,63639.08041554211
方法B_固定净负荷0.80分位数,2025-01-24,97854.8616052119,97854.8616052119,0.0,0.0,0.0,53197.592996666666,62682.74399748459,0.0,0.0,62682.74399748459
方法B_固定净负荷0.80分位数,2025-01-25,97854.8616052119,97854.8616052119,0.0,0.0,0.0,54587.43068,62682.74399748459,0.0,0.0,62682.74399748459
