策略,日期,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元
方法D_动态分位数加小时滚动,2025-01-01,54149.36558717003,88959.92022281849,34810.55463564846,0.0,6547.841562463264,3949.716628277535,32909.865288866175,40130.95529324318,24514.53897410116,97555.35955621052
方法D_动态分位数加小时滚动,2025-01-02,96853.43824833806,97806.5901111694,1216.2097832727798,263.0579204414495,2064.552030168239,2184.6142718337665,61853.479109051776,1044.980905665876,8415.11727770004,71313.57729241769
方法D_动态分位数加小时滚动,2025-01-03,98536.025876471,53822.274559653786,0.0,44713.75131681721,3198.695952960058,8155.194214321119,63124.984344657074,-16568.92043938324,14772.759086800303,61328.822992074136
方法D_动态分位数加小时滚动,2025-01-04,97702.04902590618,52886.38609135999,7.797720343205583e-06,44815.66294234391,3188.490998643343,8034.412806386183,62522.52888737599,-16436.759588915036,15503.580816202115,61589.35011466307
方法D_动态分位数加小时滚动,2025-01-05,96935.71019463985,95892.21750810846,507.7182003617431,1551.2108868931318,1959.0260400522798,2106.5449653148075,61949.074766858896,-74.121747301039,7986.4799539043515,69861.43297346222
方法D_动态分位数加小时滚动,2025-01-06,97686.82948181596,95622.3757356302,386.1575623541092,2450.6113085398756,2002.6313804095419,2273.008650349131,62530.948786180714,-634.8792564271236,8876.159144600928,70772.22867435451
方法D_动态分位数加小时滚动,2025-01-07,98011.95565910061,97619.30057772792,983.1222418571319,1375.7773232298293,1817.2380020204876,1992.971180446319,62839.82454469683,726.4611638086474,6342.707331292766,69908.99303979824
方法D_动态分位数加小时滚动,2025-01-08,98463.2624254281,94643.76555741795,112.94349731693222,3932.4403653270692,2229.4370049057206,2640.620320617138,63132.628628787534,-1420.9095246925333,8874.067310353039,70585.78641444804
方法D_动态分位数加小时滚动,2025-01-09,98494.23326893123,96320.64210495495,123.4726035276451,2297.063767503926,1808.8446544203964,2228.8784379382696,63145.60275206221,-693.0950006167997,6544.173630751523,68996.68138219693
方法D_动态分位数加小时滚动,2025-01-10,98652.45647615717,53414.63731043038,7.797719263180625e-06,45237.81917352451,3346.8201078122543,7918.811766112213,63248.4417175631,-16628.67439800002,16059.56657707136,62679.33389663444
方法D_动态分位数加小时滚动,2025-01-11,98338.59988098673,52793.178450583175,5.684341886080802e-14,45545.42143040356,3466.8692039483226,8052.786083432897,63025.61253242249,-16749.976535172544,16504.107039387796,62779.743036637745
方法D_动态分位数加小时滚动,2025-01-12,98027.13162527203,95871.52001799227,0.0,2155.611607279754,1363.3866733857653,1579.9799569729255,62803.80460126871,-839.7657581835275,5058.247191231049,67022.28603431623
方法D_动态分位数加小时滚动,2025-01-13,98049.35526268499,93237.78821101275,44.780441076512034,4856.347492748745,1932.1868671053908,2203.23101587396,62801.671575984896,-1888.791437335646,7905.505765334496,68818.38590398374
方法D_动态分位数加小时滚动,2025-01-14,97975.26882908198,94164.16033033475,72.91281907805437,3884.0213178252843,1855.3119769347127,2024.0194474373175,62742.02106652274,-1387.3929164552837,7664.007922096604,69018.63607216405
方法D_动态分位数加小时滚动,2025-01-15,97954.59272633333,95220.95618321263,70.20724505331384,2803.843788174013,1861.5670303336865,2241.4076645800023,62710.916932555396,-1004.6975567486819,8606.03465457,70312.25403037672
方法D_动态分位数加小时滚动,2025-01-16,97988.18067316082,94155.85052829655,135.46061300754215,3967.7907578718136,2081.2023122811333,2480.170108836699,62765.673311872895,-1321.7245005563238,8424.046457957276,69867.99526927384
方法D_动态分位数加小时滚动,2025-01-17,98025.5458434411,50786.052992815836,5.684341886080802e-14,47239.492850625255,3545.334720576841,8343.727235121341,62814.29806421797,-17272.04608422066,17038.832264710145,62581.08424470746
方法D_动态分位数加小时滚动,2025-01-18,97801.23883533174,51177.5271003842,7.79772051373584e-06,46623.711742745254,3827.294719641607,8520.563271587062,62657.5847728364,-17100.351285457014,17559.3340438554,63116.567531234796
方法D_动态分位数加小时滚动,2025-01-19,97578.79216668381,93837.11902726282,88.54691750295886,3830.220056923947,1822.0623474398467,2213.32644321166,62501.66696264149,-1339.7996425310469,8015.211035383623,69177.07835549406
方法D_动态分位数加小时滚动,2025-01-20,97519.1132640583,93228.70808154656,90.76327057318967,4381.1684530849125,1494.9859511102,1960.0793622554315,62475.204568424364,-1482.8693403526067,6248.914592502152,67241.24982057391
方法D_动态分位数加小时滚动,2025-01-21,97425.11105318491,88746.54754010963,22.772898264171204,8701.336411339456,2407.153803504361,3123.6976593166937,62424.37615779592,-3210.714311980036,9678.485071514424,68892.1469173303
方法D_动态分位数加小时滚动,2025-01-22,97507.14338409048,93997.54068630817,160.33051641133733,3669.933214193644,1561.6725154064943,1884.7646112123243,62478.790005791816,-1234.9467709135947,6454.839444549999,67698.68267942822
方法D_动态分位数加小时滚动,2025-01-23,97636.02480251546,94894.58002331082,28.404604307600408,2769.849383512243,1476.8963765925105,1989.87703587132,62572.94351178422,-1060.681995761784,5120.194419268833,66632.45593529128
方法D_动态分位数加小时滚动,2025-01-24,97854.86158501603,48971.011459472116,7.797720684266096e-06,48883.85013334163,3164.577091123232,9059.421272354703,62682.743988778195,-17794.32275951998,15959.675641427424,60848.09687068564
方法D_动态分位数加小时滚动,2025-01-25,97854.8615788632,47942.724822060794,7.797720229518745e-06,49912.13676460012,3474.278038421982,9745.072097045415,62682.74398612567,-18167.21820635013,17338.44834243824,61853.974122213775
方法D_动态分位数加小时滚动,2025-01-26,97854.8615788632,92886.7733495041,130.00928197350535,5098.097511332609,1691.0166886741056,2090.6483804465997,62682.74398612567,-1637.2480078171682,5552.908569741834,66598.40454805034
方法D_动态分位数加小时滚动,2025-01-27,98004.82952967871,89386.50298850323,133.48711973914746,8751.81366091463,1939.3871859865303,2507.1945521088,62769.584994740224,-3078.162258385331,7785.323195976816,67476.7459323317
方法D_动态分位数加小时滚动,2025-01-28,98057.1113353262,92265.97233743012,194.14866942828954,5985.287667324372,1592.7995496614367,2143.0796425779304,62802.053895578036,-2010.4660626093291,6427.820511877366,67219.40834484607
方法D_动态分位数加小时滚动,2025-01-29,98109.48740101888,86911.60034140939,158.8209356444163,11356.707995253908,1925.9475017836257,2895.2162384048174,62833.10812848275,-4104.684118682619,8359.51981941306,67087.9438292132
方法D_动态分位数加小时滚动,2025-01-30,97626.14582562853,89278.52826149933,262.7049020561627,8610.322466185356,1825.0761253653209,2739.8708984775117,62510.43090982451,-2871.645048105791,8436.134435524355,68074.92029724308
方法D_动态分位数加小时滚动,2025-01-31,97197.08165494149,47425.91832526987,5.684341886080802e-14,49771.16332967162,3432.879668952941,8898.37658962912,62210.95722186604,-18168.48347991926,17177.16944630535,61219.64318825213
方法D_动态分位数加小时滚动,2025-02-01,97197.0816347348,45291.3792132555,0.0,51905.702421479305,3526.245474583548,11243.270211908792,62210.957213154994,-18830.58169502026,17667.901195056256,61048.276713190986
方法D_动态分位数加小时滚动,2025-02-02,97197.08163473484,84055.47663630132,313.3545907921496,13454.959589225671,1811.2459936445034,3045.3571792652283,62210.957213154994,-4507.31157724649,8105.358616185659,65809.00425209416
方法D_动态分位数加小时滚动,2025-02-03,96704.98061658486,85786.93736533124,148.5431825946628,11066.586433848272,2189.6532700183025,3198.110950691368,61885.746481325645,-3938.518036893166,9023.320705949958,66970.54915038243
方法D_动态分位数加小时滚动,2025-02-04,96311.47657769863,86743.36648362674,138.30461040108935,9706.414704472969,1405.3151041417452,2307.0037209624907,61601.042861788475,-3444.9322244159957,5967.968637143002,64124.07927451548
方法D_动态分位数加小时滚动,2025-02-05,97044.65375966423,86348.11492776315,337.20926940062833,11033.748101301711,2065.2164999294596,3084.0198688110004,62166.656317320754,-3727.050918962723,9353.999765959648,67793.60516431768
方法D_动态分位数加小时滚动,2025-02-06,97699.85100462765,85916.22440214622,201.4976306546093,11985.124233136046,1763.8681667673568,2856.7731493109695,62613.14735024846,-4263.993089895265,8117.1658238194195,66466.32008417262
方法D_动态分位数加小时滚动,2025-02-07,50076.22976413594,38593.52009429097,358.11937884450424,11840.829048689473,2555.435916464063,5627.046465579272,26249.129972892675,-3021.575130039407,12224.823572329246,35452.37841518252
方法D_动态分位数加小时滚动,2025-02-08,49550.54540510997,39069.953128163375,484.27544786954536,10964.86772481614,1954.6267737499854,5771.893668784252,26005.500060308852,-2499.0394271340483,9151.649104028176,32658.10973720298
方法D_动态分位数加小时滚动,2025-02-09,96511.41085533577,85094.33351996084,464.05097580939486,11881.128311184322,2053.7337844471926,3081.8658603216572,61696.02814107953,-3849.2896439357587,9720.72493998895,67567.46343713271
方法D_动态分位数加小时滚动,2025-02-10,94904.55324076755,79646.89385741684,377.41952705079296,15635.078910401497,2156.600648365967,3346.9586776493716,60595.55645355913,-4968.6472782765195,9703.650023227958,65330.55919851057
方法D_动态分位数加小时滚动,2025-02-11,95820.01804569823,80760.87719358699,432.3114827985382,15491.452334909782,2131.5534242345207,3414.756778087419,61074.5429555478,-5006.341255739048,10485.394042611166,66553.59574241992
方法D_动态分位数加小时滚动,2025-02-12,96411.56282736202,80741.30503594382,436.820830422839,16107.078621841032,2300.465664684169,3554.8410159675627,61748.19650773238,-5129.37839177332,10797.525527737553,67416.34364369661
方法D_动态分位数加小时滚动,2025-02-13,97160.01539364505,77260.64623431911,583.1192421646081,20482.48840149055,2718.9500431676174,4628.313904534931,62219.51052792014,-6486.312464420775,13649.101481411266,69382.29954491062
方法D_动态分位数加小时滚动,2025-02-14,49479.65600851392,37824.402589489466,524.9196880826177,12180.173107107075,2455.088355121832,6826.233799431405,25916.98167139838,-2912.413404097848,11467.933772019484,34472.50203932001
方法D_动态分位数加小时滚动,2025-02-15,48978.21172790529,38191.20347344797,616.7594535373091,11403.767707994635,2418.7017254576035,7705.330206008038,25691.129143831335,-2539.716088847543,11083.921736088378,34235.33479107217
方法D_动态分位数加小时滚动,2025-02-16,95937.4270838822,80863.99390771487,441.0868550776827,15514.520031245003,2714.781136724315,3985.366101759881,61278.024801776395,-5128.974541353442,12958.63178593962,69107.68204636258
方法D_动态分位数加小时滚动,2025-02-17,94322.82958476298,76417.04183202307,562.4958916093905,18468.2836443493,2864.4813374030396,4220.437485873638,60174.364896042716,-5591.582482072151,12974.716351266276,67557.49876523684
方法D_动态分位数加小时滚动,2025-02-18,94892.62171200247,77532.59718561849,492.32235221423804,17852.34687859823,2398.8936533748133,3877.29826680993,60434.207368192736,-5500.090210048505,11474.538481572721,66408.65563971695
方法D_动态分位数加小时滚动,2025-02-19,95935.86379628746,78345.03453429323,648.6651932537728,18239.494455248005,2693.950716496905,4119.266562542966,61400.74011445207,-5586.149977097118,12926.517843938542,68741.10798129349
方法D_动态分位数加小时滚动,2025-02-20,96674.65952491888,76791.01512087481,666.0937491793128,20549.73815322338,3356.3988156430255,5224.304261951842,61874.568963377606,-6521.97116450876,16298.07915622008,71650.67695508893
方法D_动态分位数加小时滚动,2025-02-21,48946.68085076015,36864.107581573364,113.12707939106109,12195.700348577851,2607.7118843347716,10324.232460437457,25591.848480635694,-3758.1592587577748,12774.425834760266,34608.115056638184
方法D_动态分位数加小时滚动,2025-02-22,48380.95084173175,37652.11916572658,203.5091664560754,10932.340842461248,2118.657177081293,8377.973494850157,25378.481478776557,-3195.847679344193,10601.3644054793,32783.998204911666
方法D_动态分位数加小时滚动,2025-02-23,95423.46833008787,77000.76991370496,770.7990364344894,19193.497452817395,3173.099635474412,4658.47862169184,60913.20236004786,-5779.436885306742,15271.389951746443,70405.15542648756
方法D_动态分位数加小时滚动,2025-02-24,93813.74178510116,73568.87242789642,554.7132404660617,20799.5825976708,2623.427467689395,4305.07777823377,59788.4271952884,-6291.691610936114,13013.378373098709,66510.11395745099
方法D_动态分位数加小时滚动,2025-02-25,94240.5357871066,71596.2837923792,729.473234090496,23373.72522881789,3072.8565416856763,5226.512995565347,59968.522540836435,-6804.025933200658,15036.870650681441,68201.36725831722
方法D_动态分位数加小时滚动,2025-02-26,95496.88361780379,74240.08108083664,636.7897299380177,21893.592266905165,3051.405092808494,4726.354065760296,61078.24047400452,-6607.35215781922,14091.42503329786,68562.31334948316
方法D_动态分位数加小时滚动,2025-02-27,96206.10646250121,73365.02872695244,880.2598098207798,23721.337545369548,3265.281170045583,5921.60260994101,61541.090197968486,-6936.431789320765,16704.690970438398,71309.34937908611
方法D_动态分位数加小时滚动,2025-02-28,48452.197296396116,36269.62387558638,57.070294315369274,12239.643715125105,2717.1003788777666,12178.280477275144,25312.092065629644,-3924.0289798779513,14139.044091476651,35527.10717722835
方法D_动态分位数加小时滚动,2025-03-01,47776.699422320795,35712.631423630446,133.0647229827608,12197.13272167311,2416.111745004973,11018.572411205816,25051.090796464767,-3763.7975539956406,12780.499993941152,34067.793236410274
方法D_动态分位数加小时滚动,2025-03-02,94930.78170662269,77589.89058727505,753.1357342304375,18094.026853578078,3381.598559460165,4668.68413904942,60556.70612602822,-5084.743214629724,14911.015042576186,70382.97795397468
方法D_动态分位数加小时滚动,2025-03-03,93338.17671412294,77249.66365210948,561.0854223367071,16649.598484350165,2489.65218489494,3806.7348375068646,59443.170864609616,-5059.494388528302,12801.340944407535,67185.01742048885
方法D_动态分位数加小时滚动,2025-03-04,93624.66216790467,74466.04518102917,681.5900646026265,19840.20705147813,2745.5325347925473,4157.2757077860915,59533.823949260135,-6020.5672629374885,13091.25552908044,66604.51221540308
方法D_动态分位数加小时滚动,2025-03-05,93712.87230985981,71485.7573730842,919.4945338019165,23146.609470577536,3382.2860026800886,5010.250556867185,59720.70791430248,-6514.960521769229,16448.38248754341,69654.12988007667
方法D_动态分位数加小时滚动,2025-03-06,93917.81535769386,71174.7411151307,713.4442312950002,23456.51847385817,2785.57444152749,4565.49464833688,59894.74264455899,-6793.734834054567,13899.997996069025,67001.00580657345
方法D_动态分位数加小时滚动,2025-03-07,46395.14372650333,36140.051421402655,5.684341886080802e-14,10255.092305100676,2646.1513463908263,14488.103200888207,24186.858374079453,-3316.6663005993464,13382.11648041888,34252.30855389898
方法D_动态分位数加小时滚动,2025-03-08,45048.5587773623,35229.64921345599,5.684341886080802e-14,9818.909563906309,2442.9541860129602,15199.722838180325,23539.097293465762,-3420.6341994701033,13071.342637257732,33189.80573125339
方法D_动态分位数加小时滚动,2025-03-09,92879.42322193085,69444.14606901314,968.3086235830169,24403.585776500735,3298.3766106326775,5924.392043081794,59017.771574638085,-7052.506660046185,17395.415208421462,69360.68012301336
