策略,日期,时段序号,时间标签,电价_元每kWh,实际负荷_kWh,实际光伏_kWh,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,充电量_kWh,放电量_kWh,期末SOC_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元,期初SOC_kWh
方法D_动态分位数加小时滚动,2025-01-01,0,00:10:00,0.4248,588.2882666666667,0.0,1406.6410999999998,1406.6410999999998,0.0,0.0,833.3333333333333,0.0,6750.0,14.98050000000012,0.0,597.5411392799999,0.0,31.818582000000255,629.3597212800001,6000.0
方法D_动态分位数加小时滚动,2025-01-01,1,00:20:00,0.4245,601.5881166666666,0.0,1406.3298666666665,1406.3298666666665,0.0,0.0,833.3333333333333,0.0,7500.0,28.591583333333347,0.0,596.9870283999999,0.0,60.68563562500003,657.6726640249999,6750.0
方法D_动态分位数加小时滚动,2025-01-01,2,00:30:00,0.4269,621.0933333333332,0.0,1407.38385,1407.38385,0.0,0.0,833.3333333333333,0.0,8250.0,47.04281666666657,0.0,600.812165565,0.0,100.4128921749998,701.2250577399998,7500.0
方法D_动态分位数加小时滚动,2025-01-01,3,00:40:00,0.4272,585.1051833333333,0.0,1409.07395,1409.07395,0.0,0.0,833.3333333333333,0.0,9000.0,9.364566666666633,0.0,601.9563914400001,0.0,20.002714399999928,621.95910584,8250.0
方法D_动态分位数加小时滚动,2025-01-01,4,00:50:00,0.4271,583.7604166666666,0.0,1409.8045499999998,1409.8045499999998,0.0,0.0,833.3333333333333,0.0,9750.0,7.289200000000051,0.0,602.127523305,0.0,15.566086600000109,617.693609905,9000.0
方法D_动态分位数加小时滚动,2025-01-01,5,01:00:00,0.4285,631.1683333333333,0.0,576.6400166666666,576.6400166666666,0.0,0.0,0.0,0.0,9750.0,54.52831666666668,0.0,247.09024714166665,0.0,116.82691845833337,363.91716560000003,9750.0
方法D_动态分位数加小时滚动,2025-01-01,6,01:10:00,0.4311,650.0534166666666,0.0,577.8597,604.8258638888889,26.9661638888889,0.0,0.0,0.0,9750.0,45.22755277777776,0.0,249.11531666999997,17.437669878750008,97.48799001249996,364.0409765612499,9750.0
方法D_动态分位数加小时滚动,2025-01-01,7,01:20:00,0.4302,652.8062666666666,0.0,577.9938666666667,604.2212783956533,26.227411728986567,0.0,0.0,0.0,9750.0,48.584988271013344,0.0,248.65296144,16.924548788715033,104.50630977094971,370.08381999966474,9750.0
方法D_动态分位数加小时滚动,2025-01-01,8,01:30:00,0.4279,636.2133333333334,0.0,911.1613833333333,936.6702814041195,25.50889807078613,0.0,333.3333333333333,0.0,10050.0,32.87638526254722,0.0,389.8859559283333,16.372886226734078,70.33902626921977,476.5978684242872,9750.0
方法D_动态分位数加小时滚动,2025-01-01,9,01:40:00,0.4312,588.8356,0.0,580.41545,605.2255184699511,24.810068469951148,0.0,0.0,0.0,10050.0,0.0,16.389918469951112,250.27514204,16.047152286364405,0.0,266.3222943263644,10050.0
方法D_动态分位数加小时滚动,2025-01-01,10,01:50:00,0.4333,615.7768833333333,0.0,582.5140166666666,606.6444003381043,24.1303836714377,0.0,0.0,0.0,10050.0,9.132482995228997,0.0,252.40332342166667,15.683542867250933,19.785524409163624,287.8723906980812,10050.0
方法D_动态分位数加小时滚动,2025-01-01,11,02:00:00,0.4311,677.4549999999999,0.0,583.0740499999999,606.5433691933755,23.469319193375554,0.0,0.0,0.0,10050.0,70.91163080662443,0.0,251.36322295499997,15.176435256396301,152.85002020367895,419.3896784150752,10050.0
方法D_动态分位数加小时滚动,2025-01-01,12,02:10:00,0.4293,635.1118333333333,0.0,584.2049166666666,626.1426124999999,41.93769583333335,0.0,0.0,0.0,10050.0,8.969220833333338,0.0,250.79917072499998,27.00577923187501,19.252432518750012,297.05738247562505,10050.0
方法D_动态分位数加小时滚动,2025-01-01,13,02:20:00,0.4324,640.8249166666667,0.0,585.4397833333333,626.2285740607769,40.7887907274436,0.0,0.0,0.0,10050.0,14.596342605889845,0.0,253.1441623133333,26.455609665819917,31.557292713933844,311.1570646930871,10050.0
方法D_动态分位数加小时滚动,2025-01-01,14,02:30:00,0.4367,705.77,0.0,586.1447499999999,625.8161104776734,39.67136047767349,0.0,0.0,0.0,10050.0,79.95388952232656,0.0,255.96941232499995,25.986724680900018,174.57931777200005,456.5354547779,10050.0
