日期,选择分位数,验证样本数,选择得分
2025-01-01,0.8,0,inf
2025-01-02,0.8,1,inf
2025-01-03,0.8,2,inf
2025-01-04,0.8,3,inf
2025-01-05,0.8,4,inf
2025-01-06,0.8,5,inf
2025-01-07,0.8,6,inf
2025-01-08,0.8,7,inf
2025-01-09,0.8,8,inf
2025-01-10,0.8,9,inf
2025-01-11,0.8,10,inf
2025-01-12,0.8,11,inf
2025-01-13,0.8,12,inf
2025-01-14,0.8,13,inf
2025-01-15,0.8,14,109808.23440993091
2025-01-16,0.8,14,78877.00545138997
2025-01-17,0.8,14,78261.48912594319
2025-01-18,0.8,14,78235.8781403543
2025-01-19,0.8,14,78242.31746184635
2025-01-20,0.8,14,78146.64483037606
2025-01-21,0.8,14,77962.31315250194
2025-01-22,0.8,14,77186.74529897697
2025-01-23,0.8,14,77147.1463900664
2025-01-24,0.8,14,77060.45208982103
2025-01-25,0.8,14,77020.18966834142
2025-01-26,0.8,14,76995.88067907353
2025-01-27,0.8,14,76994.36876503867
2025-01-28,0.8,14,76965.06759786484
2025-01-29,0.8,14,76935.18146668555
2025-01-30,0.8,14,76842.03968412027
2025-01-31,0.8,14,76447.35530389305
2025-02-01,0.8,14,76404.07275271133
2025-02-02,0.8,14,76371.96039277874
2025-02-03,0.8,14,76325.76141805839
2025-02-04,0.8,14,76255.37526986626
2025-02-05,0.8,14,76179.91905302595
2025-02-06,0.8,14,76114.89029685495
2025-02-07,0.8,14,76100.06971398459
2025-02-08,0.8,14,73458.81962850224
2025-02-09,0.8,14,70800.21039765025
2025-02-10,0.8,14,70718.9309326199
2025-02-11,0.8,14,70561.8667295785
2025-02-12,0.8,14,70432.92759397137
2025-02-13,0.8,14,70316.79587402362
2025-02-14,0.8,14,70279.6801508523
2025-02-15,0.8,14,67649.08716835074
2025-02-16,0.8,14,65001.73426224391
2025-02-17,0.8,14,64937.52938030539
2025-02-18,0.8,14,64815.67639536167
2025-02-19,0.8,14,64735.5535087447
2025-02-20,0.8,14,64680.292297097374
2025-02-21,0.8,14,64550.626693996746
