小问,参数,参数值,获贷企业数,贷款总额_万元,预期净收益_万元,预期或平均损失_万元,CVaR95_万元
问题1,LGD,0.54,99,5000,42.13557610228507,65.23871240434512,
问题1,LGD,0.6,99,5000,34.09998150586479,69.62730253036027,
问题1,LGD,0.66,99,5000,26.388007197398863,73.93033296052988,
问题1,风险厌恶系数,0.315,99,5000,34.27208517754559,70.1445372817943,
问题1,风险厌恶系数,0.35,99,5000,34.09998150586479,69.62730253036027,
问题1,风险厌恶系数,0.385,99,5000,33.862283049452664,68.99932354957687,
问题2,不确定性惩罚eta,0.18000000000000002,241,10000,163.91405887624643,103.20467786694185,
问题2,不确定性惩罚eta,0.2,239,10000,163.1073162386191,103.83654642802811,
问题2,不确定性惩罚eta,0.22000000000000003,238,10000,161.67096796356816,104.34359180467288,
问题3,传播系数rho,0.27,226,10000,,96.90701950773668,102.25636188483242
问题3,传播系数rho,0.3,226,10000,,96.72851634460964,102.1099657534433
问题3,传播系数rho,0.33,226,10000,,96.79292613813229,102.21097672023105
问题3,风险放大gamma,1.035,228,10000,,98.39951806083536,103.33953692822271
问题3,风险放大gamma,1.15,226,10000,,96.72851634460964,102.1099657534433
问题3,风险放大gamma,1.265,225,10000,,96.1386902953043,102.06242131493916
