企业代号,企业名称,CORAL平均违约风险,预测不确定性,修正违约风险,预测信誉评级,是否放贷,贷款额度_万元,贷款年利率,客户流失率,预期损失_万元,预期净收益_万元
E124,个体经营E124 ,2.998746665358836e-05,8.653191360930509e-05,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E125,个体经营E125 ,7.011350633936653e-06,2.6953798494180008e-05,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E126,个体经营E126 ,9.184426292747638e-06,3.210038841552431e-05,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E127,个体经营E127 ,8.680848607899274e-05,0.0003022358919642631,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E129,个体经营E129 ,6.727206788280852e-05,0.00027728011088268484,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E131,个体经营E131 ,0.00037757565333636114,0.0007445822598249295,0.001,A,是,99,0.0465,0.135727183124787,0.05133780532238765,3.92336342725017
E197,***医疗设备有限公司,0.0010594367935382548,0.0017313930123061705,0.001405715395999489,A,是,99,0.0465,0.135727183124787,0.07216634333850483,3.9009206775378034
E132,个体经营E132 ,0.0011734920029451987,0.0014045623366195756,0.0014544044702691139,A,是,99,0.0465,0.135727183124787,0.0746659335546861,3.8982273690798688
E167,***体育文化股份有限公司,0.0013216470700093696,0.004301456523207516,0.002181938374650873,A,是,99,0.0465,0.135727183124787,0.11201592750327344,3.8579827506002657
E191,***商贸有限责任公司,0.0018549529962442076,0.004276940729792395,0.0027103411422026865,A,是,99,0.0465,0.135727183124787,0.1391429659156593,3.8287533667109197
E147,***装饰工程有限责任公司,0.0022841423311486747,0.002817779687406019,0.002847698268629879,A,是,99,0.0465,0.135727183124787,0.1461945793318211,3.821155253255006
E162,***网络信息安全有限公司,0.002737249896184827,0.006661845724820286,0.004069619041148885,A,是,98,0.0465,0.135727183124787,0.2068149534034017,3.71564811420818
E180,***电气有限公司,0.004574592412760021,0.006829007636383161,0.005940393940036653,A,是,98,0.0465,0.135727183124787,0.30188631502955066,3.6132087220560045
E134,***工程咨询有限公司,0.005596438379979354,0.013040015355100534,0.008204441450999462,A,是,97,0.0465,0.135727183124787,0.4126889671218463,3.453630178441859
E141,***食品有限公司,0.006482734824717995,0.009031565892602178,0.00828904800323843,A,是,97,0.0465,0.135727183124787,0.41694473405781335,3.449044589568354
E146,***基础建设工程有限公司,0.007085245709237313,0.008160600735284613,0.008717365856294236,A,是,97,0.0465,0.135727183124787,0.4384894124412411,3.425830198610211
E175,***食品集团有限公司,0.006119755416896242,0.01657321691896463,0.009434398800689168,A,是,96,0.0465,0.135727183124787,0.46966431899495564,3.3520505508138863
E140,***建筑工程有限公司,0.007678802402702871,0.010788956554092403,0.009836593713521352,A,是,97,0.0465,0.135727183124787,0.4947873324314908,3.3651691898207163
E164,个体经营E164 ,0.009054531799064004,0.008805257455123162,0.010815583290088636,A,是,97,0.0465,0.135727183124787,0.5440311718311113,3.3121089528676255
E165,***文化传媒股份有限公司,0.00854212601473538,0.014939845305047422,0.011530095075744864,A,是,96,0.0465,0.135727183124787,0.5739925103972948,3.239636924577866
E145,***工贸有限公司,0.010139082354425556,0.009178998445920553,0.011974882043609667,A,是,97,0.0585,0.347315668091994,0.4548806009832742,3.2044257818328368
E173,***贸易有限责任公司,0.010616662586886214,0.01022955689474795,0.012662573965835804,A,是,97,0.0585,0.347315668091994,0.481003423215206,3.1757559844332914
E195,***医药有限公司,0.01189674571646724,0.010880570592436791,0.014072859834954599,A,是,96,0.0745,0.511096611982035,0.39630348589888753,3.0511258623731523
E193,个体经营E193 ,0.00792949579310754,0.03448477493500498,0.014826450780108535,A,是,94,0.0745,0.511096611982035,0.4088267938533637,2.9642009721996514
E194,***文化传播有限公司,0.009295615236346897,0.032194821532626525,0.015734579542872204,A,是,94,0.0745,0.511096611982035,0.43386767356172873,2.936050849927498
E169,***建筑设计有限公司,0.012518341190600996,0.016747306585429063,0.01586780250768681,A,是,96,0.0745,0.511096611982035,0.44685057060910316,2.9943025146447515
E171,***质量检验测试站,0.012586129577478395,0.019416763679780846,0.016469482313434564,A,是,95,0.0745,0.511096611982035,0.4589631850105862,2.944262614881079
E137,***建设工程有限公司,0.013695161209252325,0.014191808850015973,0.01653352297925552,A,是,96,0.0745,0.511096611982035,0.4655978150648199,2.973227487335784
E225,***物业服务有限责任公司***分公司,0.015339294529973771,0.018692491508624426,0.019077792831698658,A,是,95,0.0745,0.511096611982035,0.5316502604253722,2.8625502276022914
E238,个体经营E238 ,0.01350282716689541,0.034968574889218056,0.02049654214473902,A,是,93,0.0745,0.511096611982035,0.5591622524646479,2.7587755584034617
E160,***钢结构工程有限公司,0.018271104950654447,0.0130197690911814,0.020875058768890727,A,是,95,0.0745,0.511096611982035,0.5817355565595338,2.8062460071981374
E135,***建设工程有限公司,0.01939639865507934,0.013708086678736813,0.022138015990826702,A,是,95,0.0745,0.511096611982035,0.6169310082489304,2.7666804535906406
E128,个体经营E128 ,0.015189862942384159,0.035278086538000714,0.022245480249984302,A,是,93,0.0745,0.511096611982035,0.6068746989565661,2.7051388164721306
