企业代号,企业名称,行业,问题2额度_万元,平均冲击强度,企业暴露度,冲击前风险,冲击后平均风险,冲击后P95风险,稳健风险,调整后评级,调整后额度_万元,额度变化_万元,调整后利率,调整类别
E124,个体经营E124 ,其他/无法识别,99,0.0817340417757127,0.08223318143694017,0.001,0.0010995751477781619,0.0012133904199261483,0.0011507920202447558,A,99,0,0.0465,维持
E125,个体经营E125 ,其他/无法识别,99,0.08197014581297173,0.08918169044797607,0.001,0.0010998800079029167,0.0012140684862339635,0.0011512648231518877,A,99,0,0.0465,维持
E126,个体经营E126 ,其他/无法识别,99,0.09169690552235489,0.15395495412367968,0.001,0.001112530080716494,0.001242334149452647,0.001170941911647763,A,99,0,0.0465,维持
E127,个体经营E127 ,其他/无法识别,99,0.08883572029151346,0.1471060852473198,0.001,0.0011087905099987827,0.001233952076796646,0.0011651132150578211,A,99,0,0.0465,维持
E128,个体经营E128 ,其他/无法识别,93,0.11617826888552159,0.33141072514567976,0.022245480249984302,0.02539380627387854,0.02908863586122252,0.02705647958818333,A,92,-1,0.0745,调减
E129,个体经营E129 ,其他/无法识别,99,0.0807653881986224,0.07908637976498537,0.001,0.001098325497987321,0.0012106125042137873,0.0011488546507892308,A,99,0,0.0465,维持
E130,个体经营E130 ,其他/无法识别,81,0.1146038360999073,0.34008266732219894,0.09054204237669031,0.10214347142141769,0.11552245467399545,0.1081640138850777,A,79,-2,0.1425,调减
E131,个体经营E131 ,其他/无法识别,99,0.08117527175038224,0.08071939082367857,0.001,0.0010988540713403434,0.0012117871968268532,0.001149673977809273,A,99,0,0.0465,维持
E132,个体经营E132 ,其他/无法识别,99,0.08044087087897918,0.06854056798945689,0.0014544044702691139,0.0015967284393325432,0.0017592009706755842,0.0016698410784369117,A,99,0,0.0465,维持
E133,个体经营E133 ,其他/无法识别,76,0.10421044074043372,0.2680178299343757,0.1407098013459666,0.15598343275464535,0.173284297279394,0.16376882179078225,B,74,-2,0.15,调减
E134,***工程咨询有限公司,建筑房地产,97,0.10494827084740038,0.17616020273921362,0.008204441450999462,0.009263576648986587,0.010480100228680334,0.009811012259848775,A,97,0,0.0465,维持
E135,***建设工程有限公司,建筑房地产,95,0.09996130836706188,0.12503272939047663,0.022138015990826702,0.024806145501213205,0.027848994860091198,0.026175427712708303,A,95,0,0.0745,维持
E136,***机械有限责任公司,制造业,89,0.1316280489759354,0.4514926069945528,0.03314205129308535,0.03844250831113428,0.04442466420451628,0.04113447846315618,A,89,0,0.0985,维持
E137,***建设工程有限公司,建筑房地产,96,0.10184992811376696,0.13800895808752367,0.01653352297925552,0.01858005491521674,0.020920386577845167,0.019633204163399535,A,95,-1,0.0745,调减
E138,个体经营E138 ,其他/无法识别,92,0.0875191422280865,0.1295773542884363,0.03975099764645149,0.043820936401044924,0.048465652804832574,0.04591105878274937,A,92,0,0.0985,维持
