扰动类型,扰动幅度_百分比,样本序号,重优化成本_元,成本变化率_百分比,同情景无储能成本_元,同情景节费率_百分比,购电总量变化率_百分比,电池调度相对变化_百分比,全冻结缺电量_千瓦时,全冻结富余量_千瓦时,固定电池可行,固定电池补救成本_元,固定电池后悔率_百分比,固定电池不可吸收电量_千瓦时,独立回代最大违反量_千瓦时
逐时段独立,5.0,1,35226.52017416092,0.2834620678475434,48230.60470564986,26.96230870596073,0.4124098867260839,4.864004010553398,1793.4475185760293,1581.9988440540224,False,,,99.29023330650818,7.503331289626658e-12
逐时段独立,5.0,2,35089.04570608784,-0.10790260672558533,47806.713013799716,26.602262540076413,0.21591640531082312,5.78157438666817,1828.1176569702147,1681.7251182035861,False,,,162.64375702941288,1.8189894035458565e-12
逐时段独立,5.0,3,35405.435762756635,0.7928020353940938,48326.431118831286,26.736911989844305,0.5640541730687954,5.384698645502452,1707.954929078397,1376.9642362705858,False,,,94.25116549541636,5.002220859751105e-12
逐时段独立,5.0,4,35001.89715186678,-0.3559986062250123,47918.97740015902,26.956084935671797,-0.23503428386010272,6.560873349982645,1526.4975595476233,1679.6463414706463,False,,,130.64919079015877,1.1368683772161603e-12
逐时段独立,5.0,5,35003.08555001502,-0.35261545398541577,48002.16995950131,27.080201625162815,-0.16812029038161258,5.025053801273138,1576.373126760327,1708.2512815428909,False,,,142.63415466466486,3.865352482534945e-12
逐时段独立,5.0,6,34881.34632691073,-0.6991847631873894,47829.566164501266,27.071581191134875,-0.3421117885318292,6.020228104475975,1417.2687909878996,1609.7766949217084,False,,,95.77378237496873,3.865352482534945e-12
逐时段独立,5.0,7,34852.63980808786,-0.7809069735346156,47755.32835706355,27.01832233777791,-0.7461122043669111,7.843201183904672,1410.4980985368938,1803.8133083960583,False,,,161.86583730957267,4.320099833421409e-12
逐时段独立,5.0,8,35273.81683707835,0.4181070193831001,48059.80308846155,26.604325090239342,0.4163369030431685,4.379619705473451,1639.3888331501944,1394.4881576191792,False,,,131.66876872924223,1.3642420526593924e-12
逐时段独立,5.0,9,35390.40764250317,0.7500197247957521,48106.35880031241,26.43299446252553,0.5577078961903181,5.5580836134029195,1942.562267256189,1569.4956985399222,False,,,51.974659962103786,8.589656763646758e-13
逐时段独立,5.0,10,35412.51160161462,0.8129456548661487,48350.57169325489,26.758856490305334,0.7638686144436635,4.57199676250629,1771.65037956093,1332.071976973479,False,,,132.33548106871098,2.0463630789890885e-12
逐时段独立,5.0,11,35180.900728838926,0.1535918481413071,48078.19069957811,26.825655839108684,0.6259441850442027,5.677384120486137,1779.1942383836008,1462.7892099391381,False,,,178.98213392004772,2.0463630789890885e-12
逐时段独立,5.0,12,34885.334592859406,-0.6878308992518345,47951.586660106026,27.248841961922533,-0.37580710857021415,4.470085307006538,1470.0422649694074,1745.621829788902,False,,,97.93581100190185,2.9558577807620168e-12
逐时段独立,5.0,13,35280.78279715647,0.43793783405926273,48013.839765131874,26.519555674491745,0.19728151997415733,6.246760868780344,1623.7603320955986,1456.4986394155064,False,,,70.75778651064064,1.000444171950221e-11
逐时段独立,5.0,14,35466.69789629185,0.967204128311595,48351.76818870842,26.648602057588487,1.1106056497811823,7.3902254843208866,1847.2128001515898,1251.1351160284623,False,,,63.27534564092126,7.275957614183426e-12
逐时段独立,5.0,15,35166.76195612931,0.11334134739072035,48139.06428150573,26.947558119363308,0.4571334317735598,5.077756811340306,1734.4847153228811,1499.06831956116,False,,,186.53603294523694,2.9558577807620168e-12
逐时段独立,5.0,16,34925.065434056465,-0.5747244588083785,47799.3901030505,26.934077278472245,-0.3461255188867751,4.843886298555309,1519.1502779235032,1687.6163556404958,False,,,99.49346471388958,9.094947017729282e-13
逐时段独立,5.0,17,35655.87243413665,1.505749448609133,48412.907834779675,26.350483726735405,1.5702715866977357,6.170131383497515,2152.355211556742,1253.9417382201736,False,,,93.04595695766928,7.73070496506989e-12
逐时段独立,5.0,18,35081.55101999127,-0.12923860770326073,48020.331796317885,26.944380207965867,-0.3109991519629429,5.8750758647997525,1552.9081312862806,1693.156336904503,False,,,78.77459557854266,5.6843418860808015e-12
逐时段独立,5.0,19,35211.59785146692,0.24098094355682442,48235.16120761483,27.00014477010164,0.36065389926729363,8.050474723311439,1838.861623669669,1705.6850255509212,False,,,104.00374458238302,1.8189894035458565e-12
逐时段独立,5.0,20,35210.99853492937,0.2392747989543306,48260.20983404602,27.039275925217492,0.4596605199104875,5.557083264795246,1781.4238670768823,1576.004422667054,False,,,193.8180815281594,4.092726157978177e-12
逐时段独立,5.0,21,35123.1182698443,-0.010904247587866005,47870.531470260226,26.628936025778845,-0.17148167706600992,4.3573725956019285,1571.3250883708997,1635.474915388862,False,,,95.57569576427706,2.7284841053187847e-12
逐时段独立,5.0,22,35092.80874676148,-0.0971899179675341,47934.894279232685,26.790682916004485,-0.2495245982009564,5.383259741786945,1659.3801609316363,1778.7759412088358,False,,,50.70741653856609,1.1368683772161603e-12
逐时段独立,5.0,23,34992.625892620155,-0.3823921861296851,48062.25054424472,27.193118307252483,-0.3317346745679628,4.332367524832296,1459.093093927469,1677.041313718234,False,,,66.88420133327526,1.0231815394945443e-11
逐时段独立,5.0,24,34843.224331157384,-0.8077111148162288,47777.25193995026,27.071518523186004,-0.8081334585944955,6.838296302424607,1457.6709476337423,1929.9191652873474,False,,,98.26074825511627,2.9558577807620168e-12
逐时段独立,5.0,25,35383.130554952164,0.7293031870912776,48241.05043997227,26.653482392593393,0.4826725909259588,5.806850832692252,1859.6520094356788,1570.68510206959,False,,,100.81481979369312,5.229594535194337e-12
逐时段独立,5.0,26,34865.07373973759,-0.7455098435658976,48084.61714231268,27.492250512154705,-0.8620918178598225,4.712477633406826,1367.2610895586206,1894.4301294390052,False,,,126.85667896526549,2.2737367544323206e-12
逐时段独立,5.0,27,34674.85106844618,-1.2870390081437153,47683.13362164877,27.280678858942814,-1.0506282087127339,4.652116926454644,1318.5059484396982,1934.9308253381137,False,,,193.68901354595369,2.0463630789890885e-12
逐时段独立,5.0,28,34963.87119795163,-0.4642515443009403,47896.29842879028,27.000890789224364,-0.12953185380130128,6.880418572412571,1461.8818178606753,1582.5891395257263,False,,,126.94833622311728,3.637978807091713e-12
逐时段独立,5.0,29,35025.86685234723,-0.287761251611944,48076.402797107,27.145408527829975,0.12687506751347666,7.7190750705099305,1668.952885552268,1656.1354126684416,False,,,130.74578610674666,9.777068044058979e-12
逐时段独立,5.0,30,34902.33418961149,-0.6394361555295613,47993.60891858913,27.277120899960213,-0.5096621755707798,6.295363406525792,1279.4955026440473,1604.9948637669977,False,,,120.69241871183436,7.958078640513122e-12
逐时段独立,5.0,31,35472.821532416696,0.9846370007045264,48565.79012615065,26.95924139136766,0.8304914281781928,6.742522164583695,1804.7592272367315,1399.4349124531725,False,,,90.27851602319697,5.9117155615240335e-12
逐时段独立,5.0,32,35189.03340343572,0.17674408572837935,47952.153684771605,26.61636506514019,0.11313167798709944,4.5383800752927925,1635.144577671298,1518.4995082364485,False,,,102.757393094705,9.094947017729282e-13
逐时段独立,5.0,33,35120.668971957435,-0.017876950838598155,48053.071151797034,26.912748487993298,0.30208537355367326,4.752279684559043,1782.8612021720808,1616.786034310434,False,,,90.2787260590332,8.86757334228605e-12
逐时段独立,5.0,34,35007.350877809105,-0.3404728456343713,47967.21917632474,27.018177249083177,-0.5429248689542199,5.095205348565519,1375.4212393855864,1663.8838143598186,False,,,83.77290186600317,2.2737367544323206e-12
逐时段独立,5.0,35,34999.60633452928,-0.3625201443285237,47924.504679698264,26.969289367834026,-0.1619705274850336,4.136510705534124,1431.8152975923476,1522.5158967241266,False,,,101.4392539590763,1.3415046851150692e-11
