时段序号,时段起始分钟,时间,电价,小区负载,光伏发电预测功率,负荷电量_kWh,光伏电量_kWh,净负荷_kWh,购电量_kWh,充电量_kWh,放电量_kWh,弃光量_kWh,期末储电量_kWh,购电费_元,无储能购电量_kWh,无储能购电费_元
1,10,00:10:00,0.4248,3439.8466,0.0,573.3077666666666,0.0,573.3077666666666,1406.6410999999998,833.3333333333333,0.0,0.0,6750.0,597.5411392799999,573.3077666666666,243.54113927999995
2,20,00:20:00,0.4245,3437.9792,0.0,572.9965333333333,0.0,572.9965333333333,1406.3298666666665,833.3333333333333,0.0,0.0,7500.0,596.9870283999999,572.9965333333333,243.23702839999999
3,30,00:30:00,0.4269,3444.3031,0.0,574.0505166666667,0.0,574.0505166666667,1407.38385,833.3333333333333,0.0,0.0,8250.0,600.812165565,574.0505166666667,245.06216556500002
4,40,00:40:00,0.4272,3454.4437,0.0,575.7406166666666,0.0,575.7406166666666,1409.07395,833.3333333333333,0.0,0.0,9000.0,601.9563914400001,575.7406166666666,245.95639143999998
5,50,00:50:00,0.4271,3458.8273,0.0,576.4712166666666,0.0,576.4712166666666,1409.8045499999998,833.3333333333333,0.0,0.0,9750.0,602.127523305,576.4712166666666,246.2108566383333
6,60,01:00:00,0.4285,3459.8401,0.0,576.6400166666666,0.0,576.6400166666666,576.6400166666666,0.0,0.0,0.0,9750.0,247.09024714166665,576.6400166666666,247.09024714166665
7,70,01:10:00,0.4311,3467.1582,0.0,577.8597,0.0,577.8597,577.8597,0.0,0.0,0.0,9750.0,249.11531666999997,577.8597,249.11531666999997
8,80,01:20:00,0.4302,3467.9632,0.0,577.9938666666667,0.0,577.9938666666667,577.9938666666667,0.0,0.0,0.0,9750.0,248.65296144,577.9938666666667,248.65296144
9,90,01:30:00,0.4279,3466.9683,0.0,577.82805,0.0,577.82805,911.1613833333333,333.3333333333333,0.0,0.0,10050.0,389.8859559283333,577.82805,247.252622595
10,100,01:40:00,0.4312,3482.4927,0.0,580.41545,0.0,580.41545,580.41545,0.0,0.0,0.0,10050.0,250.27514204,580.41545,250.27514204
11,110,01:50:00,0.4333,3495.0841,0.0,582.5140166666666,0.0,582.5140166666666,582.5140166666666,0.0,0.0,0.0,10050.0,252.40332342166667,582.5140166666666,252.40332342166667
12,120,02:00:00,0.4311,3498.4443,0.0,583.0740499999999,0.0,583.0740499999999,583.0740499999999,0.0,0.0,0.0,10050.0,251.36322295499997,583.0740499999999,251.36322295499997
13,130,02:10:00,0.4293,3505.2295,0.0,584.2049166666666,0.0,584.2049166666666,584.2049166666666,0.0,0.0,0.0,10050.0,250.79917072499998,584.2049166666666,250.79917072499998
14,140,02:20:00,0.4324,3512.6387,0.0,585.4397833333333,0.0,585.4397833333333,585.4397833333333,0.0,0.0,0.0,10050.0,253.1441623133333,585.4397833333333,253.1441623133333
15,150,02:30:00,0.4367,3516.8685,0.0,586.1447499999999,0.0,586.1447499999999,586.1447499999999,0.0,0.0,0.0,10050.0,255.96941232499995,586.1447499999999,255.96941232499995
16,160,02:40:00,0.4348,3517.9246,0.0,586.3207666666666,0.0,586.3207666666666,586.3207666666666,0.0,0.0,0.0,10050.0,254.93226934666666,586.3207666666666,254.93226934666666
17,170,02:50:00,0.4335,3518.5518,0.0,586.4253,0.0,586.4253,586.4253,0.0,0.0,0.0,10050.0,254.21536755,586.4253,254.21536755
18,180,03:00:00,0.4357,3521.0976,0.0,586.8496,0.0,586.8496,586.8496,0.0,0.0,0.0,10050.0,255.69037072,586.8496,255.69037072
19,190,03:10:00,0.4374,3526.9261,0.0,587.8210166666667,0.0,587.8210166666667,587.8210166666667,0.0,0.0,0.0,10050.0,257.11291269,587.8210166666667,257.11291269
20,200,03:20:00,0.4371,3537.2854,0.0,589.5475666666666,0.0,589.5475666666666,589.5475666666666,0.0,0.0,0.0,10050.0,257.69124138999996,589.5475666666666,257.69124138999996
21,210,03:30:00,0.4356,3544.8808,0.0,590.8134666666666,0.0,590.8134666666666,590.8134666666666,0.0,0.0,0.0,10050.0,257.35834608,590.8134666666666,257.35834608
22,220,03:40:00,0.4353,3541.2787,0.0,590.2131166666666,0.0,590.2131166666666,590.2131166666666,0.0,0.0,0.0,10050.0,256.91976968499995,590.2131166666666,256.91976968499995
