策略,日期,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元
问题2_固定价,2025-01-01,54149.365587170076,54149.365587170076,0.0,0.0,36514.41488333333,21.217300000000023,32909.86528886616,0.0,146586.90245181666,179496.76774068282
问题2_固定价,2025-01-02,96853.43825448024,96853.43825448024,0.0,0.0,2483.2580333333335,1633.1887833333321,61853.47911169964,0.0,9532.153857958338,71385.63296965798
问题2_固定价,2025-01-03,98745.5829048996,98745.5829048996,0.0,0.0,0.0,48396.69676,63303.9428293717,0.0,0.0,63303.9428293717
问题2_固定价,2025-01-04,98117.39957326128,98117.39957326128,0.0,0.0,34.972000000000094,48555.550293333334,62893.14386745211,0.0,74.77013600000019,62967.91400345211
问题2_固定价,2025-01-05,97454.16992354579,97454.16992354579,0.0,0.0,1229.3539633333319,2829.320536666668,62421.06802980191,0.0,4559.542472879994,66980.6105026819
问题2_固定价,2025-01-06,98293.26055248792,98293.26055248792,0.0,0.0,757.8362599999994,3579.8065633333326,63037.15692610317,0.0,3028.8215083366654,66065.97843443984
问题2_固定价,2025-01-07,98546.99073396185,98546.99073396185,0.0,0.0,1301.0572666666665,2448.11595,63235.485282478905,0.0,4838.583651258333,68074.06893373725
问题2_固定价,2025-01-08,98977.50352483144,98977.50352483144,0.0,0.0,679.9091699999993,5278.490523333332,63539.595792165084,0.0,2240.321182218331,65779.91697438342
问题2_固定价,2025-01-09,99004.52825954983,99004.52825954983,0.0,0.0,659.2525099999982,3724.8510066666654,63536.12393487873,0.0,2032.3311623549953,65568.45509723372
问题2_固定价,2025-01-10,99269.06054286142,99269.06054286142,0.0,0.0,0.0,48924.12666333333,63711.262966006754,0.0,0.0,63711.262966006754
问题2_固定价,2025-01-11,99071.89444032832,99071.89444032832,0.0,0.0,4.073999999999955,49345.42568333333,63576.8878249057,0.0,8.710211999999904,63585.5980369057
问题2_固定价,2025-01-12,98838.72699392137,98838.72699392137,0.0,0.0,434.4146500000006,3539.6133166666687,63416.45897719313,0.0,1392.0199145583354,64808.47889175146
问题2_固定价,2025-01-13,98865.68869196362,98865.68869196362,0.0,0.0,400.9729233333329,6129.6875199999995,63419.84403874198,0.0,1183.0721481699989,64602.916186911985
问题2_固定价,2025-01-14,98797.58370071308,98797.58370071308,0.0,0.0,457.9921700000003,5116.400179999999,63374.41386062932,0.0,1392.2384800833343,64766.65234071266
问题2_固定价,2025-01-15,98784.93718600426,98784.93718600426,0.0,0.0,387.2580933333336,4243.990719999997,63357.90426586296,0.0,1738.1450970183341,65096.0493628813
问题2_固定价,2025-01-16,98842.98235554007,98842.98235554007,0.0,0.0,579.5568666666672,5488.4512399999985,63436.99574061057,0.0,2375.6772555483362,65812.6729961589
问题2_固定价,2025-01-17,98854.6401586815,98854.6401586815,0.0,0.0,0.0,51308.947799999994,63464.09776188074,0.0,0.0,63464.09776188074
问题2_固定价,2025-01-18,98641.80936321212,98641.80936321212,0.0,0.0,27.15599999999995,50573.37521666666,63306.56212073884,0.0,58.05952799999989,63364.62164873884
问题2_固定价,2025-01-19,98431.58312104024,98431.58312104024,0.0,0.0,221.06626000000006,5119.926546666667,63150.19156462642,0.0,932.22298573,64082.414550356414
问题2_固定价,2025-01-20,98398.12304713481,98398.12304713481,0.0,0.0,248.75444666666692,5732.47438,63135.633904846094,0.0,949.642743978334,64085.27664882442
问题2_固定价,2025-01-21,98347.15876853997,98347.15876853997,0.0,0.0,301.32523000000026,10328.336863333332,63106.600492120095,0.0,947.295356498334,64053.89584861843
问题2_固定价,2025-01-22,98212.6769831421,98212.6769831421,0.0,0.0,422.77699000000064,4897.024310000002,63003.180918360165,0.0,1521.673491581669,64524.85440994183
问题2_固定价,2025-01-23,98670.44056099009,98670.44056099009,0.0,0.0,302.5045000000001,4569.4562466666675,63387.89470675486,0.0,1071.9455548250007,64459.84026157986
问题2_固定价,2025-01-24,51380.93220420791,51380.93220420791,0.0,0.0,441.8884666666663,7902.248543333337,26995.673352238773,0.0,1421.8364237333333,28417.509775972107
问题2_固定价,2025-01-25,50920.54477502387,50920.54477502387,0.0,0.0,216.56075333333303,8618.00449,26810.623556044306,0.0,938.7541800349999,27749.377736079306
问题2_固定价,2025-01-26,97612.02982962971,97612.02982962971,0.0,0.0,474.9115366666665,5558.9690766666645,62582.60728670623,0.0,1288.8554838399996,63871.46277054623
问题2_固定价,2025-01-27,96201.80662951988,96201.80662951988,0.0,0.0,395.1366599999991,7643.107876666668,61612.80982732775,0.0,1322.6683265399965,62935.47815386775
问题2_固定价,2025-01-28,97335.69539476112,97335.69539476112,0.0,0.0,420.1887166666662,5942.01337333333,62209.18273804648,0.0,1437.4429890233314,63646.62572706981
问题2_固定价,2025-01-29,98087.04813912074,98087.04813912074,0.0,0.0,170.63616666666655,12032.81367,62933.288802561314,0.0,556.5461327049998,63489.83493526631
问题2_固定价,2025-01-30,98636.6961427993,98636.6961427993,0.0,0.0,128.43567666666672,10189.998619999998,63314.50448077673,0.0,641.1001978999994,63955.60467867673
问题2_固定价,2025-01-31,51013.02123428577,51013.02123428577,0.0,0.0,238.15632333333298,8407.376263333334,26772.945085053685,0.0,1060.6096695466654,27833.55475460035
问题2_固定价,2025-02-01,50559.04977166268,50559.04977166268,0.0,0.0,44.446113333333415,12152.078129999998,26606.064935946753,0.0,158.90826043833366,26764.973196385086
问题2_固定价,2025-02-02,97710.7614274942,97710.7614274942,0.0,0.0,7.859796666666625,14538.427173333335,62612.61857642714,0.0,33.96500009666632,62646.58357652381
问题2_固定价,2025-02-03,95974.46876870553,95974.46876870553,0.0,0.0,9.575653333333321,11007.17038,61402.69703647154,0.0,20.04184242666664,61422.7388788982
问题2_固定价,2025-02-04,97157.25460013343,97157.25460013343,0.0,0.0,73.69183666666675,11216.564016666669,62069.42119748816,0.0,220.82329961333386,62290.24449710149
问题2_固定价,2025-02-05,97556.81004121632,97556.81004121632,0.0,0.0,8.339886666666757,11985.039526666666,62570.04987630782,0.0,52.378658210000566,62622.42853451782
问题2_固定价,2025-02-06,98215.90019965381,98215.90019965381,0.0,0.0,7.976970000000051,13128.2303,63042.24015855797,0.0,29.46464531833345,63071.70480387631
问题2_固定价,2025-02-07,50485.10487402631,50485.10487402631,0.0,0.0,28.165076666666664,14637.681053333334,26474.681747944927,0.0,178.79330573666667,26653.47505368159
问题2_固定价,2025-02-08,49871.5375995651,49871.5375995651,0.0,0.0,42.748189999999965,14270.165003333332,26177.68610718542,0.0,294.70203331999977,26472.38814050542
问题2_固定价,2025-02-09,97003.42269164503,97003.42269164503,0.0,0.0,0.26875666666660436,12636.81562,62097.315122525964,0.0,0.5185659883332131,62097.8336885143
问题2_固定价,2025-02-10,95234.64980690958,95234.64980690958,0.0,0.0,17.708333333333485,16175.136066666668,60827.730601010226,0.0,119.23020833333436,60946.96080934356
问题2_固定价,2025-02-11,96204.76985091492,96204.76985091492,0.0,0.0,23.10654666666676,16205.571373333332,61407.052524075785,0.0,116.38957626666726,61523.44210034246
问题2_固定价,2025-02-12,96784.85240527228,96784.85240527228,0.0,0.0,11.244016666666766,16705.66303333333,62038.1200718566,0.0,74.32229439166734,62112.442366248266
问题2_固定价,2025-02-13,97602.1773494346,97602.1773494346,0.0,0.0,6.5031166666665285,21464.85885,62598.005474134334,0.0,43.86352191666573,62641.868996051
问题2_固定价,2025-02-14,49726.906247587875,49726.906247587875,0.0,0.0,7.210583333333375,15870.227949999999,26039.800570769068,0.0,46.859028625000256,26086.65959939407
问题2_固定价,2025-02-15,49191.38385812056,49191.38385812056,0.0,0.0,55.73736666666673,15904.442366666666,25776.167161058136,0.0,366.01908472500037,26142.186245783138
问题2_固定价,2025-02-16,96314.0540222932,96314.0540222932,0.0,0.0,34.64298333333318,16172.31428333333,61587.413792576175,0.0,233.8803977416656,61821.29419031784
问题2_固定价,2025-02-17,94486.62742142052,94486.62742142052,0.0,0.0,17.1114166666664,18578.664233333333,60264.17118841707,0.0,105.81521184166556,60369.986400258735
问题2_固定价,2025-02-18,95184.40708013778,95184.40708013778,0.0,0.0,0.0,18309.12198333333,60688.0871165065,0.0,0.0,60688.0871165065
问题2_固定价,2025-02-19,96299.08272448095,96299.08272448095,0.0,0.0,52.618760000000066,18653.90970333333,61671.12307107973,0.0,231.68090818666693,61902.8039792664
问题2_固定价,2025-02-20,97083.83397204927,97083.83397204927,0.0,0.0,19.44724333333329,21309.154286666664,62228.70814009082,0.0,95.69596594333298,62324.40410603415
问题2_固定价,2025-02-21,49156.36392857137,49156.36392857137,0.0,0.0,26.90476999999987,19562.990433333332,25701.19867066065,0.0,128.00836065166607,25829.207031312315
问题2_固定价,2025-02-22,48513.45486924624,48513.45486924624,0.0,0.0,43.568886666666685,16680.295563333333,25427.676141037857,0.0,237.10800139666674,25664.784142434524
问题2_固定价,2025-02-23,95704.76097251083,95704.76097251083,0.0,0.0,40.59153000000015,19423.910109999997,61147.60546365403,0.0,196.4890965883339,61344.09456024236
问题2_固定价,2025-02-24,93901.16007236522,93901.16007236522,0.0,0.0,55.49844333333317,21017.459703333334,59826.13026883008,0.0,354.6351572433323,60180.76542607341
问题2_固定价,2025-02-25,94536.63314358455,94536.63314358455,0.0,0.0,50.782273333333364,23988.662709999997,60209.65287960257,0.0,265.41636454666707,60475.06924414923
问题2_固定价,2025-02-26,95853.74190614268,95853.74190614268,0.0,0.0,8.804666666666662,22234.467,61332.24401512559,0.0,55.22727166666664,61387.47128679225
问题2_固定价,2025-02-27,96585.60204753822,96585.60204753822,0.0,0.0,2.4610300000000507,24843.835086666666,61874.05798529993,0.0,15.386028871666982,61889.4440141716
问题2_固定价,2025-02-28,48639.59695163184,48639.59695163184,0.0,0.0,46.479263333333336,21337.434409999998,25411.686056115424,0.0,282.34833795333356,25694.034394068756
问题2_固定价,2025-03-01,47843.41620698468,47843.41620698468,0.0,0.0,24.72949666666665,20211.01097,25072.89047924659,0.0,161.55319222833324,25234.443671474924
问题2_固定价,2025-03-02,95125.52056220993,95125.52056220993,0.0,0.0,33.776693333333355,18020.816393333334,60724.35589159375,0.0,166.2463298366669,60890.60222143042
问题2_固定价,2025-03-03,93358.46002842537,93358.46002842537,0.0,0.0,104.03480999999954,16714.229253333335,59437.55487868754,0.0,574.9167803466639,60012.4716590342
问题2_固定价,2025-03-04,93914.37569617886,93914.37569617886,0.0,0.0,5.561820000000125,19951.536406666666,59754.417172853195,0.0,27.287181900000743,59781.704354753194
问题2_固定价,2025-03-05,94025.4975503288,94025.4975503288,0.0,0.0,17.917533333333495,23135.894966666667,59943.51202879928,0.0,85.30820165000098,60028.82023044928
问题2_固定价,2025-03-06,94143.69027906649,94143.69027906649,0.0,0.0,32.94888999999989,23516.650746666666,60093.96339239738,0.0,133.91395745999944,60227.87734985738
问题2_固定价,2025-03-07,46906.1330960176,46906.1330960176,0.0,0.0,28.66517333333303,22012.27654,24472.718725277064,0.0,81.56623631999949,24554.284961597066
问题2_固定价,2025-03-08,45331.1243009655,45331.1243009655,0.0,0.0,26.716843333333316,22396.385986666664,23711.167190425534,0.0,130.54764693833323,23841.71483736387
问题2_固定价,2025-03-09,92917.69083035432,92917.69083035432,0.0,0.0,60.37983000000031,24893.58202333333,59037.670647684245,0.0,330.93042547000204,59368.60107315425
问题2_固定价,2025-03-10,90986.743388239,90986.743388239,0.0,0.0,117.18639333333306,18343.560776666665,57622.10204638675,0.0,572.8883029133323,58194.99034930009
问题2_固定价,2025-03-11,91348.86292372357,91348.86292372357,0.0,0.0,74.16722666666612,22746.959576666664,57897.98652085266,0.0,400.2570741716643,58298.24359502432
问题2_固定价,2025-03-12,91755.29346080909,91755.29346080909,0.0,0.0,76.4370766666666,24677.89864,58170.88288866757,0.0,227.86488453833329,58398.7477732059
问题2_固定价,2025-03-13,91271.63649465523,91271.63649465523,0.0,0.0,88.60474666666687,19108.000336666668,57901.09070730172,0.0,509.71132442166737,58410.80203172339
问题2_固定价,2025-03-14,44033.38063922512,44033.38063922512,0.0,0.0,46.30381333333327,24064.425283333334,22883.64294323426,0.0,249.83554468666597,23133.478487920926
问题2_固定价,2025-03-15,41966.61883716594,41966.61883716594,0.0,0.0,185.94980333333348,17338.81714,21937.708627211043,0.0,958.518478308334,22896.227105519374
问题2_固定价,2025-03-16,90053.5730920064,90053.5730920064,0.0,0.0,21.672816666666563,22005.900973333333,56902.05866049936,0.0,103.5438204916663,57005.60248099102
问题2_固定价,2025-03-17,88094.63365821475,88094.63365821475,0.0,0.0,77.91911000000016,25655.692706666665,55449.91375797877,0.0,514.0025717866674,55963.91632976544
问题2_固定价,2025-03-18,88026.87468252398,88026.87468252398,0.0,0.0,75.25491666666653,22257.872396666666,55559.10454358212,0.0,383.85715602333306,55942.961699605454
问题2_固定价,2025-03-19,87403.28267390719,87403.28267390719,0.0,0.0,15.415053333333276,23346.64521,54856.68900310153,0.0,98.46161859999957,54955.15062170153
问题2_固定价,2025-03-20,87975.52113766524,87975.52113766524,0.0,0.0,156.4934666666668,21270.030173333333,55427.81025839898,0.0,910.3698653900003,56338.18012378898
问题2_固定价,2025-03-21,40659.91403750816,40659.91403750816,0.0,0.0,159.0329699999998,24880.743756666667,21160.598406372377,0.0,762.5147319966654,21923.113138369044
问题2_固定价,2025-03-22,38830.2993416624,38830.2993416624,0.0,0.0,42.106100000000026,19272.520706666666,20391.768604517718,0.0,93.47466566666662,20485.243270184386
问题2_固定价,2025-03-23,86836.90981054318,86836.90981054318,0.0,0.0,121.89807666666695,23511.435303333332,54470.1010204631,0.0,645.5701909816681,55115.671211444766
问题2_固定价,2025-03-24,84636.79817232568,84636.79817232568,0.0,0.0,102.72424666666689,22282.671146666664,52971.608758829156,0.0,302.765822490001,53274.374581319156
问题2_固定价,2025-03-25,85237.66279720882,85237.66279720882,0.0,0.0,117.93128333333266,19766.001109999997,53489.319716715196,0.0,526.9035499149971,54016.223266630186
问题2_固定价,2025-03-26,83126.62262213675,83126.62262213675,0.0,0.0,107.6112866666665,23206.84361666667,51915.47847039748,0.0,381.22428567833254,52296.70275607581
问题2_固定价,2025-03-27,83859.17051534799,83859.17051534799,0.0,0.0,139.52961333333303,20808.602706666665,52471.61611938146,0.0,575.8714054666651,53047.48752484813
