策略,日期,计划购电量_kWh,调整后购电量_kWh,上调量_kWh,下调量_kWh,紧急购电量_kWh,剩余电量_kWh,计划购电费_元,调整成本_元,紧急购电费_元,总成本_元
问题3_固定价_八时点代理,2025-01-01,72811.60173058718,88726.40492179766,15914.80319121048,0.0,4728.497470009079,1971.7515086021815,45896.42637609798,18772.154361328172,16953.25340919625,81621.83414662241
问题3_固定价_八时点代理,2025-01-02,98814.4432248167,97161.60480593929,312.85420829761784,1965.692627175029,2269.5256816331125,1781.4640404683241,63592.78350156184,-393.4360775111846,8352.414702408949,71551.76212645961
问题3_固定价_八时点代理,2025-01-03,96131.00093911405,59634.51623795503,0.0,36496.48470115901,3168.978485474702,13621.754658476251,61727.507245338355,-14081.837255698585,16325.243864446673,63970.913854086444
问题3_固定价_八时点代理,2025-01-04,92900.89230510443,59599.274518459446,5.684341886080802e-14,33301.61778664497,3463.369222573626,14566.224572670662,59299.85123204706,-12794.852449710972,18201.121426121477,64706.12020845756
问题3_固定价_八时点代理,2025-01-05,71940.23805948337,90421.85436911056,18481.616309627192,0.0,7486.88937181118,2154.7042738027103,42534.27150746365,22779.222631992405,29944.29879010642,95257.79292956246
问题3_固定价_八时点代理,2025-01-06,93751.3989034308,95128.47398732328,2198.3294150478537,821.2543311553825,1999.340501847251,1713.1381565015063,59904.0001687678,2321.1313336381063,7527.765617908912,69752.89712031481
问题3_固定价_八时点代理,2025-01-07,92252.05824819002,98039.61842895535,5787.560180765332,0.0,1765.3120901200948,2416.0175651555937,58669.58780625208,6692.1300801593925,6489.326684629974,71851.04457104145
问题3_固定价_八时点代理,2025-01-08,100256.77394918974,94533.60644363085,585.0045502174678,6308.172055776358,2120.5111521797976,2354.1888364186325,64519.334749876136,-1445.523072522624,7335.278505342414,70409.09018269593
问题3_固定价_八时点代理,2025-01-09,93653.10643526725,95279.49409638808,1836.6553266764286,210.26766555560482,2508.189326878326,1891.1899171861292,59723.68547671441,2329.10367174144,8947.706367579893,71000.49551603575
问题3_固定价_八时点代理,2025-01-10,99796.85530570417,59646.850687397826,0.0,40150.004618306346,3245.486067879866,13646.66530979623,64424.33971880979,-15474.134340230343,17322.80826954891,66273.01364812836
问题3_固定价_八时点代理,2025-01-11,93175.35249972447,57927.0686041213,0.0,35248.28389560317,3892.203903478089,13316.700189926007,59485.01108725251,-13396.753061534257,20102.44796280534,66190.7059885236
问题3_固定价_八时点代理,2025-01-12,94909.75120503736,96411.30391090135,3331.915520704322,1830.3628148403309,2220.2093766733997,2998.9464650421933,60448.223970207415,3573.2719958311127,7695.037722745051,71716.53368878357
问题3_固定价_八时点代理,2025-01-13,95133.79405998165,94535.16525893829,1158.3014982170625,1756.9302992604144,1651.0774509733353,3147.904650005571,60818.62801515737,436.93541078942707,6061.333272991561,67316.89669893835
问题3_固定价_八时点代理,2025-01-14,93491.66580099612,93721.17231343768,810.1924500561114,580.6859376145566,1998.9573430506566,1629.1035465221835,59665.474863192176,539.4390391843322,7309.744273040341,67514.65817541684
问题3_固定价_八时点代理,2025-01-15,90240.96783037552,95100.59121708694,4859.623386711417,0.0,1588.8438770852767,1824.3793562027565,57219.56514457248,5503.446274222098,6245.909795835121,68968.92121462969
问题3_固定价_八时点代理,2025-01-16,89886.86171456757,93200.5913144214,3313.7295998538325,0.0,2180.98639184876,1675.3620606642985,56992.105524391896,3871.7125639507863,8460.44593957857,69324.26402792125
问题3_固定价_八时点代理,2025-01-17,92585.88616142832,56854.52865984042,0.0,35731.3575015879,3869.397728615967,14411.514508419437,58889.726212783215,-13612.351847076025,20638.341716390005,65915.71608209719
问题3_固定价_八时点代理,2025-01-18,95734.3987584473,57239.99821888726,0.0,38494.40053956005,3943.870132189596,14377.374536391984,61001.954362838456,-14452.273093584567,19569.99261625983,66119.67388551372
问题3_固定价_八时点代理,2025-01-19,88921.36710752844,93572.9669844249,4667.518920980016,15.91904408356038,1552.5086691142533,1637.9654605450733,56227.02017174398,5209.941887570383,6183.629741886627,67620.591801201
问题3_固定价_八时点代理,2025-01-20,89422.59728681052,91957.8214067084,3486.539473772616,951.3153538747227,2103.586264646214,1241.131498134877,56755.16374477393,3459.054095965479,8162.015425303311,68376.23326604272
