折次,起始日期,结束日期,问题,变量,RMSE_kWh,MAE_kWh,nRMSE_百分比,周滞后基线RMSE_kWh,相对基线RMSE改善_百分比,平均选择分位数,分位数最小值,分位数最大值,平均选择得分_元,Pinball损失,周滞后基线Pinball损失,相对基线Pinball改善_百分比
1,2025-02-01,2025-04-08,问题二及问题四日前分支,净负荷,162.32386070543953,117.87156780386266,33.85299997231667,69.63693960829455,-133.1002218341383,0.6746268656716419,0.5,0.8,61348.87895978569,,,
1,2025-02-01,2025-04-08,问题三及问题四滚动分支,负荷,30.57699930320269,24.079820122653242,4.139805473809846,29.974212870540683,-2.011016720490555,0.5,0.5,0.5,,12.039910061326621,11.82106069738115,-1.851351325807471
1,2025-02-01,2025-04-08,问题三及问题四滚动分支,光伏,25.361475112653874,13.35541131840796,6.933780624056201,63.01430429253614,59.752828508720256,0.5,0.5,0.5,,6.67770565920398,16.108287150186566,58.54490550768063
2,2025-04-09,2025-06-14,问题二及问题四日前分支,净负荷,96.28445257225566,69.70468119662105,20.68731930479069,96.3673292544959,0.08600080844969327,0.6380597014925375,0.5,0.95,50961.11741616115,,,
2,2025-04-09,2025-06-14,问题三及问题四滚动分支,负荷,36.35058342028773,25.72679162289055,4.871696283255043,39.00898527922097,6.814844938684694,0.5,0.5,0.5,,12.863395811445274,14.19151149201907,9.358521686155086
2,2025-04-09,2025-06-14,问题三及问题四滚动分支,光伏,32.283191168595884,18.458194784180947,7.193690934223928,84.3609989557747,61.732089984472594,0.5,0.5,0.5,,9.229097392090473,22.391168559114153,58.78242188331952
3,2025-06-15,2025-08-20,问题二及问题四日前分支,净负荷,131.64889055673532,89.84263274305555,24.7248195775335,89.40241647215068,-47.25428657484292,0.9313432835820896,0.85,0.95,64960.25833140336,,,
3,2025-06-15,2025-08-20,问题三及问题四滚动分支,负荷,53.15400660177845,40.59625648174997,6.200080107704726,51.32958274752218,-3.5543321348045387,0.5,0.5,0.5,,20.298128240874984,18.990718014959924,-6.8844696913784365
3,2025-06-15,2025-08-20,问题三及问题四滚动分支,光伏,32.98337451600966,18.413470209427402,7.281838244404024,79.97024276899583,58.755440306357066,0.5,0.5,0.5,,9.206735104713701,21.283584568477057,56.742553985244946
4,2025-08-21,2025-10-26,问题二及问题四日前分支,净负荷,134.46592404787225,109.11273932861734,26.626880448307375,84.46005261954272,-59.206535962729156,0.85,0.85,0.85,57885.875141841745,,,
4,2025-08-21,2025-10-26,问题三及问题四滚动分支,负荷,59.53849057872941,44.98422562860616,7.915987623196832,45.9887755788456,-29.463091437721502,0.5,0.5,0.5,,22.49211281430308,16.088734909653123,-39.80038169942111
4,2025-08-21,2025-10-26,问题三及问题四滚动分支,光伏,29.860039344742454,15.740890364439375,6.984801394232427,69.70893580978333,57.16468914943364,0.5,0.5,0.5,,7.8704451822196875,18.547341095736595,57.565641664783776
5,2025-10-27,2025-12-31,问题二及问题四日前分支,净负荷,62.32792534838132,46.31858149024972,12.016727816296276,59.674611169851595,-4.446303254457096,0.9462121212121215,0.85,0.95,71387.93923269113,,,
5,2025-10-27,2025-12-31,问题三及问题四滚动分支,负荷,31.040613895491248,23.60414860862263,4.123046272713324,33.32129972328677,6.844528414963513,0.5,0.5,0.5,,11.802074304311315,12.540129646289282,5.885547939262037
5,2025-10-27,2025-12-31,问题三及问题四滚动分支,光伏,21.546673357308446,9.94684440031098,7.5408384357036295,45.93639576787955,53.09454954588604,0.5,0.5,0.5,,4.97342220015549,11.02050840435606,54.87120904340807
