策略,扰动类型,样本序号,扰动后总成本_元,紧急购电量_kWh,剩余电量_kWh,成本变化率_百分比
问题2_固定价,逐时段独立,1,18178533.115853317,1073485.8902673356,4552455.039320193,5.631474572405271
问题2_固定价,逐时段独立,2,18145651.124333918,1067998.5527558723,4547685.986688912,5.440404521321662
问题2_固定价,逐时段独立,3,18085405.90750607,1052373.2411620477,4565893.715168415,5.090332760915972
问题2_固定价,逐时段独立,4,18133242.365768086,1063013.0765682408,4543657.463973769,5.368299942994659
问题2_固定价,逐时段独立,5,18085853.087111447,1049028.1089203006,4567520.398535881,5.092931223663966
问题2_固定价,逐时段独立,6,18167892.50719691,1067917.8596115075,4552963.718522444,5.569644325951351
问题2_固定价,逐时段独立,7,18161625.487413537,1068044.078691525,4557980.40110107,5.533228046558869
问题2_固定价,逐时段独立,8,18189408.418671247,1073821.0195627813,4555955.477673431,5.694668575230377
问题2_固定价,逐时段独立,9,18212273.503538195,1079175.1486133244,4561106.068504617,5.827532575605221
问题2_固定价,逐时段独立,10,18140164.136460237,1059716.5431941818,4552784.185679878,5.408520836518038
问题2_固定价,逐时段独立,11,18172390.256131552,1072555.3931113912,4548123.417322824,5.595779759937947
问题2_固定价,逐时段独立,12,18126679.045215804,1063081.470814664,4575907.922014042,5.330161924728261
问题2_固定价,逐时段独立,13,18134124.69821614,1063017.6177266084,4562614.565305899,5.373426983606633
问题2_固定价,逐时段独立,14,18147925.17417609,1064409.4695330795,4557211.978818573,5.453618526904447
问题2_固定价,逐时段独立,15,18187717.85860913,1076326.775324127,4537266.018446399,5.684845100966718
问题2_固定价,逐时段独立,16,18143554.76229125,1065204.7158358374,4541321.194026016,5.4282230206255555
问题2_固定价,逐时段独立,17,18133608.881739624,1065829.6660746452,4549594.93723326,5.370429687032918
问题2_固定价,逐时段独立,18,18166181.242550407,1071023.6285400223,4572401.99230189,5.5597005418824175
问题2_固定价,逐时段独立,19,18150837.385950673,1064290.2993229977,4571773.962862495,5.470540751709696
问题2_固定价,逐时段独立,20,18156913.193708017,1070690.478366043,4582922.415673096,5.505845939897136
问题2_固定价,逐时段独立,21,18138884.459088817,1064270.0581117403,4543415.3198538255,5.401084911580734
问题2_固定价,逐时段独立,22,18169300.777268253,1068520.2920920937,4553796.372968622,5.577827474904251
问题2_固定价,逐时段独立,23,18112410.702379964,1058261.4751320046,4553965.000630926,5.247251709484324
